LOAD_ZONE	TIMEPOINT	renewable_forecast_mw	contingency_reserve_requirement_mw	regulating_reserve_requirement_mw
Oahu	2020062200	53.8	180.0	17.99
Oahu	2020062201	48.8	180.0	17.99
Oahu	2020062202	38.0	180.0	17.99
Oahu	2020062203	30.9	180.0	17.99
Oahu	2020062204	33.5	180.0	17.99
Oahu	2020062205	45.0	180.0	17.99
Oahu	2020062206	59.80165121	180.0	38.6892331653
Oahu	2020062207	71.6404207692	180.0	38.6892331653
Oahu	2020062208	93.3271138462	180.0	38.6892331653
Oahu	2020062209	117.794770769	180.0	38.6892331653
Oahu	2020062210	154.095849231	180.0	38.6892331653
Oahu	2020062211	163.279340769	180.0	38.6892331653
Oahu	2020062212	186.255023077	180.0	38.6892331653
Oahu	2020062213	192.147351538	180.0	38.6892331653
Oahu	2020062214	182.963061538	180.0	38.6892331653
Oahu	2020062215	163.364191538	180.0	38.6892331653
Oahu	2020062216	140.442961538	180.0	38.6892331653
Oahu	2020062217	105.298376923	180.0	38.6892331653
Oahu	2020062218	62.7746323077	180.0	38.6892331653
Oahu	2020062219	59.0659253846	180.0	38.6892331653
Oahu	2020062220	62.2	180.0	17.99
Oahu	2020062221	60.5	180.0	17.99
Oahu	2020062222	66.3	180.0	17.99
Oahu	2020062223	68.3	180.0	38.6892331653
Oahu	2020062300	59.2	180.0	17.99
Oahu	2020062301	54.6	180.0	17.99
Oahu	2020062302	42.6	180.0	17.99
Oahu	2020062303	40.2	180.0	17.99
Oahu	2020062304	36.0	180.0	17.99
Oahu	2020062305	50.7	180.0	17.99
Oahu	2020062306	53.200892518	180.0	37.7764945826
Oahu	2020062307	70.4213607692	180.0	38.6892331653
Oahu	2020062308	114.182423846	180.0	38.6892331653
Oahu	2020062309	141.641849231	180.0	38.6892331653
Oahu	2020062310	153.328586923	180.0	38.6892331653
Oahu	2020062311	169.122209231	180.0	38.6892331653
Oahu	2020062312	191.67825	180.0	38.6892331653
Oahu	2020062313	183.714162308	180.0	38.6892331653
Oahu	2020062314	167.648367692	180.0	38.6892331653
Oahu	2020062315	160.814203846	180.0	38.6892331653
Oahu	2020062316	133.168758462	180.0	38.6892331653
Oahu	2020062317	105.375445385	180.0	38.6892331653
Oahu	2020062318	69.1937315385	180.0	38.6892331653
Oahu	2020062319	58.4291473077	180.0	38.6892331653
Oahu	2020062320	71.8	180.0	17.99
Oahu	2020062321	73.7	180.0	17.99
Oahu	2020062322	81.2	180.0	17.99
Oahu	2020062323	51.8	180.0	36.6729447895
Oahu	2020062400	52.1	180.0	17.99
Oahu	2020062401	51.2	180.0	17.99
Oahu	2020062402	48.4	180.0	17.99
Oahu	2020062403	42.2	180.0	17.99
Oahu	2020062404	44.6	180.0	17.99
Oahu	2020062405	45.2	180.0	17.99
Oahu	2020062406	54.300824252	180.0	38.4338872051
Oahu	2020062407	75.1240915385	180.0	38.6892331653
Oahu	2020062408	119.407923077	180.0	38.6892331653
Oahu	2020062409	148.958347692	180.0	38.6892331653
Oahu	2020062410	172.221067692	180.0	38.6892331653
Oahu	2020062411	199.888750769	180.0	38.6892331653
Oahu	2020062412	212.007226154	180.0	38.6892331653
Oahu	2020062413	212.492695385	180.0	38.6892331653
Oahu	2020062414	186.906813077	180.0	38.6892331653
Oahu	2020062415	166.976927692	180.0	38.6892331653
Oahu	2020062416	132.810885385	180.0	38.6892331653
Oahu	2020062417	108.031969231	180.0	38.6892331653
Oahu	2020062418	69.9945492308	180.0	38.6892331653
Oahu	2020062419	52.5980030769	180.0	37.336262523
Oahu	2020062420	59.7	180.0	17.99
Oahu	2020062421	65.7	180.0	17.99
Oahu	2020062422	59.5	180.0	17.99
Oahu	2020062423	65.6	180.0	38.6892331653
Oahu	2020062500	52.7	180.0	17.99
Oahu	2020062501	50.2	180.0	17.99
Oahu	2020062502	46.4	180.0	17.99
Oahu	2020062503	31.9	180.0	17.99
Oahu	2020062504	35.1	180.0	17.99
Oahu	2020062505	45.2	180.0	17.99
Oahu	2020062506	55.200216216	180.0	38.6892331653
Oahu	2020062507	61.5336830769	180.0	38.6892331653
Oahu	2020062508	90.1673230769	180.0	38.6892331653
Oahu	2020062509	110.53868	180.0	38.6892331653
Oahu	2020062510	150.227403846	180.0	38.6892331653
Oahu	2020062511	166.978464615	180.0	38.6892331653
Oahu	2020062512	172.645939231	180.0	38.6892331653
Oahu	2020062513	173.075711538	180.0	38.6892331653
Oahu	2020062514	157.398933077	180.0	38.6892331653
Oahu	2020062515	140.111830769	180.0	38.6892331653
Oahu	2020062516	111.282118462	180.0	38.6892331653
Oahu	2020062517	87.7108023077	180.0	38.6892331653
Oahu	2020062518	57.3841192308	180.0	38.6892331653
Oahu	2020062519	43.4510053077	180.0	30.3066965242
Oahu	2020062520	48.2	180.0	17.99
Oahu	2020062521	48.6	180.0	17.99
Oahu	2020062522	52.2	180.0	17.99
Oahu	2020062523	58.7	180.0	38.6892331653
Oahu	2020062600	45.3	180.0	17.99
Oahu	2020062601	42.1	180.0	17.99
Oahu	2020062602	24.7	180.0	17.6787064608
Oahu	2020062603	19.2	180.0	15.9767749135
Oahu	2020062604	16.7	180.0	14.5472526959
Oahu	2020062605	15.3	180.0	14.1296838776
Oahu	2020062606	18.900185988	180.0	15.9099474976
Oahu	2020062607	33.8139515385	180.0	23.5052781583
Oahu	2020062608	70.7260861538	180.0	38.6892331653
Oahu	2020062609	84.2433407692	180.0	38.6892331653
Oahu	2020062610	127.474688462	180.0	38.6892331653
Oahu	2020062611	145.521554615	180.0	38.6892331653
Oahu	2020062612	159.412998462	180.0	38.6892331653
Oahu	2020062613	169.041292308	180.0	38.6892331653
Oahu	2020062614	152.403683077	180.0	38.6892331653
Oahu	2020062615	131.506535385	180.0	38.6892331653
Oahu	2020062616	101.930516923	180.0	38.6892331653
Oahu	2020062617	78.7507153846	180.0	38.6892331653
Oahu	2020062618	37.7022653846	180.0	25.8009229131
Oahu	2020062619	22.8530006923	180.0	18.319168213
Oahu	2020062620	30.7	180.0	17.99
Oahu	2020062621	35.4	180.0	17.99
Oahu	2020062622	35.1	180.0	17.99
Oahu	2020062623	35.8	180.0	24.3458323204
Oahu	2020062700	28.4	180.0	17.99
Oahu	2020062701	30.1	180.0	17.99
Oahu	2020062702	18.4	180.0	15.5537937421
Oahu	2020062703	13.3	180.0	12.5557798787
Oahu	2020062704	17.0	180.0	14.7204577145
Oahu	2020062705	26.5	180.0	17.99
Oahu	2020062706	28.4000619949	180.0	21.097109448
Oahu	2020062707	36.8380123077	180.0	25.0753360197
Oahu	2020062708	70.0234384615	180.0	38.6892331653
Oahu	2020062709	95.9098284615	180.0	38.6892331653
Oahu	2020062710	106.081806923	180.0	38.6892331653
Oahu	2020062711	121.355187692	180.0	38.6892331653
Oahu	2020062712	134.835273077	180.0	38.6892331653
Oahu	2020062713	126.816084615	180.0	38.6892331653
Oahu	2020062714	106.560909231	180.0	38.6892331653
Oahu	2020062715	98.1290746154	180.0	38.6892331653
Oahu	2020062716	74.6867138462	180.0	38.6892331653
Oahu	2020062717	53.6556438462	180.0	37.9960188121
Oahu	2020062718	27.5573730769	180.0	20.6575423137
Oahu	2020062719	6.14601315385	180.0	6.55151039416
Oahu	2020062720	5.5	180.0	6.34802616757
Oahu	2020062721	6.0	180.0	6.82203192173
Oahu	2020062722	6.3	180.0	7.09999365177
Oahu	2020062723	16.8	180.0	14.5712993923
Oahu	2020062800	6.9	180.0	7.64180497081
Oahu	2020062801	10.5	180.0	10.6015787485
Oahu	2020062802	9.7	180.0	10.0136292876
Oahu	2020062803	7.2	180.0	7.90581422802
Oahu	2020062804	7.3	180.0	7.99281497299
Oahu	2020062805	6.6	180.0	7.37322449502
Oahu	2020062806	13.3	180.0	12.2666694873
Oahu	2020062807	37.8517061538	180.0	26.0419184476
Oahu	2020062808	76.0887769231	180.0	38.6892331653
Oahu	2020062809	102.952469231	180.0	38.6892331653
Oahu	2020062810	130.442057692	180.0	38.6892331653
Oahu	2020062811	158.485946154	180.0	38.6892331653
Oahu	2020062812	175.388877692	180.0	38.6892331653
Oahu	2020062813	178.562852308	180.0	38.6892331653
Oahu	2020062814	163.900203077	180.0	38.6892331653
Oahu	2020062815	147.855681538	180.0	38.6892331653
Oahu	2020062816	114.163853077	180.0	38.6892331653
Oahu	2020062817	83.06463	180.0	38.6892331653
Oahu	2020062818	48.9635607692	180.0	34.6614301527
Oahu	2020062819	29.039019	180.0	21.3838048473
Oahu	2020062820	32.5	180.0	17.99
Oahu	2020062821	33.5	180.0	17.99
Oahu	2020062822	38.3	180.0	17.99
Oahu	2020062823	35.7	180.0	24.2272761858
